,skipper,boat,lastName,
639,"jonathan  nye",carina,nye,201
640,malcolm offord,the plant hunter,offord,281
641,harald orneberg,irrational exuberance,orneberg,282
642,"harald  orneberg","irrational  exuberance",orneberg,282
643,"hal  ostrom",tzvecl,ostrom,283
644,hal ostrom,tzvecl,ostrom,283
645,adrian owles,lion heart,owles,284
646,jeff padnos,mr. wilson,padnos,190
647,padnos,"mr.  wilson",padnos,190
648,justin palm,untouchable,palm,286
649,barry parkin,usa 1424,parkin,287
650,barry parkin,usa 1424 **,parkin,287
651,barry parkin,gbr 1424,parkin,287
652,stadel pat,crapshoot,pat,288
653,stadel pat,NA,pat,288
654,james patton,usa 1095,patton,289
655,art perez,alliance,perez,290
656,hall peter,cruel jane,peter,153
657,scott piper,trankeylo,piper,292
658,scott piper,pipe dream xvi,piper,292
659,tom piper,pied piper,piper,293
660,scott piper,pipe dream 12,piper,293
661,"scott  piper","pipe  dream 12",piper,293
662,"tom  piper","pied  piper",piper,292
663,tom piper,pipe line,piper,292
664,randall pittman,ruffian,pittman,294
665,keen pj,NA,pj,207
666,john podmajersky,usa 1310,podmajersky,296
667,john podmajersky,1310,podmajersky,296
668,chuck poindexter,usa 1341,poindexter,297
669,chuck poindexter,hootchie kootchie,poindexter,297
670,ernest pomerleau,usa 1300,pomerleau,298
671,ernest pomerleau,usa1300,pomerleau,298
672,ernest pomerleau,usa 1300 **,pomerleau,298
673,ernie pomerleau,usa 1300,pomerleau,298
674,pomerleau,usa 1300,pomerleau,298
675,ched proctor,something good,proctor,299
676,ched proctor,somethind good **,proctor,299
677,ched proctor,somethind good,proctor,299
678,ched proctor,bumpy ride,proctor,299
679,jonah pruitt,jeremiah,pruitt,300
680,jonah pruitt,jeremiah **,pruitt,300
681,jonah pruitt,jeremiah  (corinthian),pruitt,300
682,david pryor,hat trick,pryor,301
683,david pryor,hat trick  (corinthian),pryor,301
684,david pyles,usa 1310,pyles,302
685,enrique quintero,blackadder,quintero,303
686,enrique quintero,blackadder **,quintero,303
687,tony rae,1225,rae,304
688,tony rae,oatmeal,rae,304
689,hertz ralph,NA,ralph,265
690,carpenter ralph,NA,ralph,61
691,ante razmilovic,swedish blue,razmilovic,306
692,ante razmilovic,swedish blue  (corinthian),razmilovic,306
693,razmilovic,swedish blue,razmilovic,306
694,ante & nils razmilovic,swedish blue,razmilovic,306
695,nils razmilovic,enda lima shamba,razmilovic,306
