"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"83","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Hugh Grenville / Jason Hill / Bill Colehuwez",34,23,45,NA,NA,NA,NA,NA,102,"Hera","USA 1221",NA,NA,NA,"Hugh Greville  / Hugh Grenville / Jason Hill"
"84","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Dave Howard / John Millen",31,45,26,NA,NA,NA,NA,NA,102,"Poona Racing","USA 1177",NA,NA,NA,"John Hele  / Dave Howard"
"85","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Tim Banks / Margaux Bacro-Duverger / Ben Childerley",35,39,29,NA,NA,NA,NA,NA,103,"Nemesis","USA 1307",NA,NA,NA,"Jeff Nehms  / Tim Banks / Margaux Bacro-Duverger"
"86","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Paul Abdullah / Chris Clark",33,35,35,NA,NA,NA,NA,NA,103,"Athena","USA 1282",NA,NA,NA,"John Donnelly  / Paul Abdullah"
"87","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Scott Thomas / Roger Junet",38,30,38,NA,NA,NA,NA,NA,106,"Can't Believe Its Not Butter","USA 1224",NA,NA,NA,"Richard Ketchum  / Scott Thomas"
"88","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bruce Scott / Andrew McRae / Max Beest",37,32,40,NA,NA,NA,NA,NA,109,"Proudest Monkey","CAN 1010",NA,NA,NA,"Andre Reese  / Bruce Scott / Andrew McRae"
"89","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","David Bannister / Cam Carlin",36,36,39,NA,NA,NA,NA,NA,111,"Jeremiah","USA 1202",NA,NA,NA,"Jonah Pruitt  / David Bannister"
"90","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Tom Dawson / Rob Scrivenor",42,37,41,NA,NA,NA,NA,NA,120,"Volition","USA 907",NA,NA,NA,"Ed Kriese  / Tom Dawson"
"91","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Gerri Whitley / Vickie Matthews / Mark Bourta",41,40,43,NA,NA,NA,NA,NA,124,"Ninkasi","USA 1126",NA,NA,NA,"Rick Kaiser  / Gerri Whitley / Vickie Matthews"
"92","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","James Tunkey / Anthony Marzocca",45,42,42,NA,NA,NA,NA,NA,129,"Great American","USA 1159",NA,NA,NA,"Jeffrey Jamison  / James Tunkey"
"93","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Khari Parrish / Chris Pryor",43,44,46,NA,NA,NA,NA,NA,133,"Hat Trick","USA 1342",NA,NA,NA,"David Pryor  / Khari Parrish"
"94","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Gordon Gurnell / Rachel Daye / Key Becker",46,50,44,NA,NA,NA,NA,NA,140,"USA Youth Team Blue","USA 1145",NA,NA,NA,"Reed Lorimer  / Gordon Gurnell / Rachel Daye"
"95","Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Andrew Palfrey / Judd Smith",25,1,2,3,2,NA,NA,NA,8,"Oatmeal","USA 1453",NA,NA,NA,"Tony Rae  / Andrew Palfrey"
"96","Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Evan Aras / Alec Anderson / Wilson Stout",13,2,9,1,3,NA,NA,NA,15,"Caramba","USA 1405",NA,NA,NA,"Jose Fuentes  / Evan Aras / Alec Anderson"
