"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"89",89,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","David Bannister / Cam Carlin",36,36,39,NA,NA,NA,NA,NA,111,"jeremiah","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / David Bannister","pruitt",300
"90",90,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Tom Dawson / Rob Scrivenor",42,37,41,NA,NA,NA,NA,NA,120,"volition","USA 907",NA,NA,NA,"ed kriese","Ed Kriese  / Tom Dawson","kriese",214
"91",91,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Gerri Whitley / Vickie Matthews / Mark Bourta",41,40,43,NA,NA,NA,NA,NA,124,"ninkasi","USA 1126",NA,NA,NA,"rick kaiser","Rick Kaiser  / Gerri Whitley / Vickie Matthews","kaiser",203
"92",92,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","James Tunkey / Anthony Marzocca",45,42,42,NA,NA,NA,NA,NA,129,"great american","USA 1159",NA,NA,NA,"jeffrey jamison","Jeffrey Jamison  / James Tunkey","jamison",186
"93",93,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Khari Parrish / Chris Pryor",43,44,46,NA,NA,NA,NA,NA,133,"hat trick","USA 1342",NA,NA,NA,"david pryor","David Pryor  / Khari Parrish","pryor",301
"94",94,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Gordon Gurnell / Rachel Daye / Key Becker",46,50,44,NA,NA,NA,NA,NA,140,"usa youth team blue","USA 1145",NA,NA,NA,"reed lorimer","Reed Lorimer  / Gordon Gurnell / Rachel Daye","lorimer",232
"95",95,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Andrew Palfrey / Judd Smith",25,1,2,3,2,NA,NA,NA,8,"oatmeal","USA 1453",NA,NA,NA,"tony rae","Tony Rae  / Andrew Palfrey","rae",304
"96",96,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Evan Aras / Alec Anderson / Wilson Stout",13,2,9,1,3,NA,NA,NA,15,"caramba","USA 1405",NA,NA,NA,"jose fuentes","Jose Fuentes  / Evan Aras / Alec Anderson","fuentes",200
"97",97,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Will Felder / Brian Kamilar / Nikki Medley",2,4,8,15,5,NA,NA,NA,19,"blackadder ii","CAN 1451",NA,NA,NA,"andrew cumming","Andrew Cumming  / Will Felder / Brian Kamilar","cumming",86
"98",98,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","George Peet / Erik Shampain / Michael Buckley",36,11,6,5,6,NA,NA,NA,28,"skanky gene","USA 1464",NA,NA,NA,"jay cross","Jay Cross  / George Peet / Erik Shampain","cross",83
"99",99,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Cameron Aplleton / Pilar Calabrese / Jimmy Baranasa",3,14,1,19,11,NA,NA,NA,29,"the martian","USA 1378",NA,NA,NA,"marvin beckmann","Marvin Beckmann  / Cameron Aplleton / Pilar Calabrese","beckmann",237
"100",100,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Joseph Morris / Ian Liberty / Jonny Goldsberry",12,47,10,6,1,NA,NA,NA,29,"terrapin","USA 1228",NA,NA,NA,"stephen benjamin","Stephen Benjamin  / Joseph Morris / Ian Liberty","benjamin",29
"101",101,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Ian Coleman / Eric Lawrence",48,7,11,2,9,NA,NA,NA,29,"1225","USA 1225",NA,NA,NA,"luke lawrence","Luke Lawrence  / Ian Coleman","lawrence",223
"102",102,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Steve Hunt / Mark Ivey / Serena Vilage",34,3,18,4,8,NA,NA,NA,33,"lifted","USA 1408",NA,NA,NA,"jim cunningham","Jim Cunningham  / Steve Hunt / Mark Ivey","cunningham",88
"103",103,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Brad Boston / Curtis Florence / Abie McGlaughin",35,6,4,12,12,NA,NA,NA,34,"la tormenta","USA 1415",NA,NA,NA,"shannon w bush","Shannon W Bush  / Brad Boston / Curtis Florence","bush",53
"104",104,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Clayton Bischoff / Greg Stevens",6,8,15,14,14,NA,NA,NA,42,"kgb","USA 979",NA,NA,NA,"senet bischoff","Senet Bischoff  / Clayton Bischoff","bischoff",33
"105",105,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Randy Borges / Chris Snow / Taylor Borges",9,15,14,8,15,NA,NA,NA,46,"mb iii","USA 1296",NA,NA,NA,"jamie hilton","Jamie Hilton  / Randy Borges / Chris Snow","hilton",166
"106",106,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Jon Easley / Glen Burton",11,18,12,9,22,NA,NA,NA,50,"firing line","USA 1398",NA,NA,NA,"bruce burton","Bruce Burton  / Jon Easley","burton",50
"107",107,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Lara Poljsak / Luis Doreste / David Vera",21,12,3,17,21,NA,NA,NA,53,"tquila","SUI 1425",NA,NA,NA,"seamus mchugh","Seamus McHugh  / Lara Poljsak / Luis Doreste","mchugh",247
"108",108,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Skip Dieball / Morton Henriksen",17,10,19,7,23,NA,NA,NA,53,"warcanoe","USA 1469",NA,NA,NA,"michael goldfarb","Michael Goldfarb  / Skip Dieball","goldfarb",142
"109",109,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Ezra Culver / Karl Anderson",30,13,13,16,13,NA,NA,NA,55,"american baby","USA 1394",NA,NA,NA,"george francisco","George Francisco  / Ezra Culver","francisco",127
"110",110,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Mark Manfield / Ben Cassford",10,5,17,29,26,NA,NA,NA,58,"desparate","GBR 1432",NA,NA,NA,"drake","Rob Tyrwhitt-Drake  / Mark Manfield","drake",106
"111",111,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship",NA,28,9,24,13,16,NA,NA,NA,62,"gumption3","USA 1465",NA,NA,NA,NA,NA,NA,NA
"112",112,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Phil Jaegar / Dirk Knuelman",14,19,47,21,10,NA,NA,NA,64,"tiburon","BER 1454",NA,NA,NA,"paul sustrunk","Paul Sustrunk  / Phil Jaegar","sustrunk",349
"113",113,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Ben Cooper / Neil Harrison",16,48,25,20,7,NA,NA,NA,68,"highlife","GBR 1441",NA,NA,NA,"peter rogers","Peter Rogers  / Ben Cooper","rogers",314
"114",114,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Maru Urban / Daniel Top / Allie Tillinghast",1,17,28,34,27,NA,NA,NA,73,"dark n'stormy","USA 1262",NA,NA,NA,"edward tillinghast","Edward Tillinghast  / Maru Urban / Daniel Top","tillinghast",357
"115",115,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Watt Duffy / Dan Peckham",23,21,5,24,32,NA,NA,NA,73,"usa 1371","USA 1371",NA,NA,NA,"ken womack","Ken Womack  / Watt Duffy","womack",374
"116",116,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Chris Manson-Hing / Rachel Daye / Brooks Daley",4,25,16,32,29,NA,NA,NA,74,"usa youth team blue","USA 1280",NA,NA,NA,"sean cornell","Sean Cornell  / Chris Manson-Hing / Rachel Daye","cornell",79
"117",117,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Andy Beadsworth / Adrian Oweles",31,30,23,18,4,NA,NA,NA,75,"usa 1424","USA 1424",NA,NA,NA,"barry parkin","Barry Parkin  / Andy Beadsworth","parkin",287
"118",118,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Fred Stammer / Atlantic Brugman / John Harford",7,20,7,48,48,NA,NA,NA,82,"freedom","USA 1456",NA,NA,NA,"craig mense","Craig Mense  / Fred Stammer / Atlantic Brugman","mense",257
"119",119,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Brendan Healy / Reed Baldridge / Rebbeca Liggins",19,22,30,25,17,NA,NA,NA,83,"leading edge","USA 1090",NA,NA,NA,"jeff dever","Jeff Dever  / Brendan Healy / Reed Baldridge","dever",97
"120",120,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Graham Sunderland / Mark Lees / Hannah Peters",5,27,27,27,25,NA,NA,NA,84,"strait dealer usa","GBR 1459",NA,NA,NA,"david franks","David Franks  / Graham Sunderland / Mark Lees","franks",128
"121",121,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Paul Abdullah / Barret Rhoads",8,36,35,23,18,NA,NA,NA,84,"athena","USA 1282",NA,NA,NA,"john donnelly","John Donnelly  / Paul Abdullah","donnelly",101
"122",122,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Chris Morgan / Monica Morgan / Kaitlyn Norton",18,31,21,30,20,NA,NA,NA,89,"usa 1300","USA 1300",NA,NA,NA,"ernest pomerleau","Ernest Pomerleau  / Chris Morgan / Monica Morgan","pomerleau",298
"123",123,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Wlliam Abbott / Peter Coleman",27,26,20,22,31,NA,NA,NA,95,"clean execution","USA 1305",NA,NA,NA,"michael gavin","Michael Gavin  / Wlliam Abbott","gavin",136
"124",124,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Matt Lalumiere / Stephen Hansel / Olivia O'Reilly",38,23,32,10,36,NA,NA,NA,101,"marge","USA 1327",NA,NA,NA,"todd lalumiere","Todd Lalumiere  / Matt Lalumiere / Stephen Hansel","lalumiere",217
"125",125,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Bill Mauk / Raefel Melendez / Tim King",32,16,29,26,33,NA,NA,NA,103,"something good","USA 928",NA,NA,NA,"ched proctor","Ched Proctor  / Bill Mauk / Raefel Melendez","proctor",299
"126",126,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Tom Dawson / Rob Scrivenor",37,24,26,28,30,NA,NA,NA,108,"shades","USA 1220",NA,NA,NA,"ed kriese","Ed Kriese  / Tom Dawson","kriese",214
"127",127,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Matt Reid / Tim Thurbon",48,29,22,31,34,NA,NA,NA,116,"china wight","GBR 1417",NA,NA,NA,"nicholas stagg","Nicholas Stagg  / Matt Reid","stagg",341
"128",128,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Tim Banks / Jillian Atealot / Adam Kaplan",41,28,34,36,19,NA,NA,NA,117,"nemesis","USA 1307",NA,NA,NA,"jeff nehms","Jeff Nehms  / Tim Banks / Jillian Atealot","nehms",276
"129",129,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Kent Paisley / Andrew Macray",29,35,31,37,24,NA,NA,NA,119,"proudest monkey","CAN 1010",NA,NA,NA,"robert hitchcock","Robert Hitchcock  / Kent Paisley","hitchcock",168
"130",130,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Fraser MacKechnie / Meredith Harrington / Ray Goble",15,37,47,33,37,NA,NA,NA,122,"usa youth team red","USA 1259",NA,NA,NA,"reed lorimer","Reed Lorimer  / Fraser MacKechnie / Meredith Harrington","lorimer",232
"131",131,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Bill Johns / Tim Pitts",39,47,47,11,28,NA,NA,NA,125,"mahalaga","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Bill Johns","vessella",363
"132",132,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Gerri Whitley / Amy Baxter / Kaye Siemers",22,32,47,42,35,NA,NA,NA,131,"ninkasi","USA 1126",NA,NA,NA,"rick kaiser","Rick Kaiser  / Gerri Whitley / Amy Baxter","kaiser",203
"133",133,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Jamie Hardenbergh / Peter Browne",24,34,47,35,41,NA,NA,NA,134,"natasha","USA 1012",NA,NA,NA,"ted hardenbergh","Ted Hardenbergh  / Jamie Hardenbergh","hardenbergh",155
"134",134,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Butch Patterson / Alex Baker",20,40,37,41,48,NA,NA,NA,138,"hat trick","USA 1342",NA,NA,NA,"david pryor","David Pryor  / Butch Patterson","pryor",301
"135",135,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Scott Thomas / Roger Junet",26,33,47,43,40,NA,NA,NA,142,"can't believe its not butter","USA 1224",NA,NA,NA,"richard ketchum","Richard Ketchum  / Scott Thomas","ketchum",338
"136",136,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","David Bannister / Cam Carlin",33,39,39,40,48,NA,NA,NA,151,"jeremiah","USA 1202",NA,NA,NA,"jonah pruitt","Jonah Pruitt  / David Bannister","pruitt",300
"137",137,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Connor Needham / John King / Jacques Lane",42,43,33,44,38,NA,NA,NA,156,"usa youth team white","USA 1000",NA,NA,NA,"michael morley","Michael Morley  / Connor Needham / John King","morley",264
"138",138,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","Ed Barker / Tom Hanson",44,38,36,39,48,NA,NA,NA,157,"hera","USA 1221",NA,NA,NA,"hugh greville","Hugh Greville  / Ed Barker","greville",149
"139",139,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship","James Tunk / Amanda Clark",43,41,47,38,39,NA,NA,NA,161,"great american","USA 1159",NA,NA,NA,"jeffrey jamison","Jeffrey Jamison  / James Tunk","jamison",186
"140",140,NA,2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5973","Florida State Championship",NA,40,42,38,45,48,NA,NA,NA,165,"morena linda","BRA 1284",NA,NA,NA,NA,NA,NA,NA
"141",141,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Luke Lawrence / Eric Lawrence",5,8,16,9,2,3,1,NA,28,"1225","USA 1225",NA,NA,NA,"thomas lihan","Thomas Lihan  / Luke Lawrence","lihan",227
"142",142,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Eric Langendal / Chuck Norris",31,9,3,2,9,6,9,NA,38,"gumption3","USA 1465",NA,NA,NA,"mark mendlebatt","Mark Mendlebatt  / Eric Langendal","mendlebatt",256
"143",143,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Will Felder / Victor Diaz Deleon / Nikki Medley",14,13,10,1,8,2,6,NA,40,"blackadder ii","CAN 1451",NA,NA,NA,"andrew cumming","Andrew Cumming  / Will Felder / Victor Diaz Deleon","cumming",86
"144",144,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Ian Liberty / Jonny Goldsberry / Michael Menninger",16,3,6,13,4,8,11,NA,45,"terrapin","USA 1228",NA,NA,NA,"stephen benjamin","Stephen Benjamin  / Ian Liberty / Jonny Goldsberry","benjamin",29
"145",145,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Gonçalo Ribeiro / Richard Parslow / Joao De Matos Rosa",24,5,47,8,5,1,4,NA,47,"ellamber","GBR 1470",NA,NA,NA,"lawrie smith","Lawrie Smith  / Gonçalo Ribeiro / Richard Parslow","smith",336
"146",146,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Bill Johns / Phil Trinter",6,34,4,20,7,4,13,NA,54,"mahalaga","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Bill Johns","vessella",363
"147",147,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Lucas Calabrese / Diego Stefani / Austen Anderson",2,24,11,5,17,22,2,NA,59,"rebel","USA 1419",NA,NA,NA,"scott kaufman","Scott Kaufman  / Lucas Calabrese / Diego Stefani","kaufman",206
"148",148,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Bill Hardesty / Pilar Calabrese / Jimmy Baranasa",20,6,8,3,18,18,7,NA,60,"the martian","USA 1378",NA,NA,NA,"marvin beckmann","Marvin Beckmann  / Bill Hardesty / Pilar Calabrese","beckmann",237
"149",149,"etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","George Peet / Erik Shampain / Michael Buckley",17,10,47,12,6,10,8,NA,63,"skanky gene","USA 1464",NA,NA,NA,"jay cross","Jay Cross  / George Peet / Erik Shampain","cross",83
"150",150,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Jon Easley / Glenn Burton",4,16,20,47,13,11,3,NA,67,"firing line","USA 1398",NA,NA,NA,"bruce burton","Bruce Burton  / Jon Easley","burton",50
"151",151,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Skip Dieball / Morten Henriksen",33,2,2,21,11,14,21,NA,71,"warcanoe","USA 1469",NA,NA,NA,"michael goldfarb","Michael Goldfarb  / Skip Dieball","goldfarb",142
"152",152,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Chris Larson / Simon Fry",26,14,13,10,32,9,5,NA,77,"goombay smash","USA 1455",NA,NA,NA,"william douglass","William Douglass  / Chris Larson","douglass",103
"153",153,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Jimmy Kenedy / Jeff Madrigali / Ding Corsi",3,11,15,47,3,24,22,NA,78,"tiburon","BER 1454",NA,NA,NA,"dirk kneulman","Dirk Kneulman  / Jimmy Kenedy / Jeff Madrigali","kneulman",211
"154",154,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Brian Ledbetter / Ben Kinney",38,7,5,16,12,12,28,NA,80,"kgb","USA 979",NA,NA,NA,"senet bischoff","Senet Bischoff  / Brian Ledbetter","bischoff",33
"155",155,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Evan Aras / Alec Anderson / Wilson Stout",39,4,22,4,16,16,24,NA,86,"caramba","USA 1405",NA,NA,NA,"jose fuentes","Jose Fuentes  / Evan Aras / Alec Anderson","fuentes",200
"156",156,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Lara Poljsak / Luis Doreste / David Vera",25,15,9,11,20,34,10,NA,90,"tquila","SUI 1425",NA,NA,NA,"seamus mchugh","Seamus McHugh  / Lara Poljsak / Luis Doreste","mchugh",247
"157",157,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Andrew Palfrey / Ben Lamb",27,20,47,27,1,5,17,NA,97,"oatmeal","USA 1453",NA,NA,NA,"peter duncan","Peter Duncan  / Andrew Palfrey","duncan",109
"158",158,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Ezra Culver / Karl Anderson",11,12,30,25,19,7,23,NA,97,"american baby","USA 1454",NA,NA,NA,"george francisco","George Francisco  / Ezra Culver","francisco",127
"159",159,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Randy Borges / Chris Snow / Taylor Borges",15,17,12,19,21,15,19,NA,97,"mb iii","USA 1296",NA,NA,NA,"jamie hilton","Jamie Hilton  / Randy Borges / Chris Snow","hilton",166
"160",160,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Ben Cooper / Neil Harrison",8,30,27,7,10,20,26,NA,98,"highlife","GBR 1441",NA,NA,NA,"peter rogers","Peter Rogers  / Ben Cooper","rogers",314
"161",161,"Etchells",2019,"https://www.yachtscoring.com/event_results_cumulative.cfm?eID=5974","Miami Mid-Winters","Brian Hammersley / Andrew Mills",35,21,7,14,15,17,31,NA,105,"swedish blue  (corinthian)","GBR 1438",NA,NA,NA,"ante razmilovic","Ante Razmilovic  / Brian Hammersley","razmilovic",306
